"1","Albany Medical Center Hospital","Hospital","43 New Scotland Avenue",,"Albany","New York","12208","1","Albany",+0042.653370,-0073.773834
"10","Upper Hudson Planned Parenthood Inc","Diagnostic and Treatment Center","855 Central Avenue",,"Albany","New York","12210","1","Albany",+0042.680267,-0073.790146
"10000","Upstate Family Health Center, Inc. - Rome","Diagnostic and Treatment Center Extension Clinic","205 West Dominick Street",,"Rome","New York","13440","32","Oneida",+0043.211866,-0075.460051
"10001","IS45 Educational Campus","School Based Hospital Extension Clinic","2351 1st Avenue",,"Manhattan","New York","10035","7093","New York",+0040.799306,-0073.933101
"10002","Warrensburg Health Center - School Based Mobile Dental Equipment","School Based Diagnostic and Treatment Center Extension Clinic","3761 Main Street",,"Warrensburg","New York","12885","56","Warren",+0043.492097,-0073.768645
"10003","Mobile Health Van 4","Mobile Diagnostic and Treatment Center Extension Clinic","14 Grove Street",,"Middletown","New York","10940","35","Orange",+0041.448744,-0074.415662
"10004","Dialyze Direct NY, LLC","Diagnostic and Treatment Center","4714 16th Avenue",,"Brooklyn","New York","11204","7095","Kings",+0040.631860,-0073.984917
"10005","Outpatient Extension Clinic","Hospital Extension Clinic","200 East River Road",,"Rochester","New York","14623","27","Monroe",+0043.114094,-0077.632821
"10006","Southside Hospital Endoscopy and Pain Management Center","Hospital Extension Clinic","39 Brentwood Road",,"Bay Shore","New York","11706","51","Suffolk",+0040.728927,-0073.234518
"10007","University of Vermont Health Network- CVPH Urology","Hospital Extension Clinic","15 DeGrandpre Way",,"Plattsburgh","New York","12901","9","Clinton",+0044.702683,-0073.499917
"10008","The Birthing Center of NY Inc","Diagnostic and Treatment Center","6702-6706 Third Avenue",,"Brooklyn","New York","11220","7095","Kings",+0040.637515,-0074.025407
"10009","Liberty Endoscopy Center","Diagnostic and Treatment Center","156 William Street",,"New York","New York","10038","7093","New York",+0040.709972,-0074.005803
"1001","New Paltz Center for Rehabilitation and Nursing","Residential Health Care Facility - SNF","1 Jansen Road, P.O. Box 909",,"New Paltz","New York","12561","55","Ulster",+0041.728039,-0074.099243
"10010","Main Street Dialysis Center","Diagnostic and Treatment Center","3 North Main Street",,"Freeport","New York","11520","29","Nassau",+0040.657843,-0073.584322
"10011","Samaritan OB/GYN","Hospital Extension Clinic","2231 Burdett Avenue",,"Troy","New York","12180","41","Rensselaer",+0042.734315,-0073.671615
"10013","Jamaica Hillside Dialysis","Diagnostic and Treatment Center Extension Clinic","171-19 Hillside Avenue",,"Jamaica","New York","11432","7096","Queens",+0040.711798,-0073.790796
"10014","Community Health Center of Buffalo Mobile Van","Mobile Diagnostic and Treatment Center Extension Clinic","401 East Amherst Street",,"Buffalo","New York","14215","14","Erie",+0042.938929,-0078.823213
"10015","Atlas Park Dialysis","Diagnostic and Treatment Center Extension Clinic","80-00 Cooper Avenue",,"Glendale","New York","11385","7096","Queens",+0040.709092,-0073.869771
"10016","DSI Newburgh, LLC","Diagnostic and Treatment Center","39-47 North Plank Road",,"Newburgh","New York","12550","35","Orange",+0041.522200,-0074.030208
"10017","Reality House Clinic","Diagnostic and Treatment Center Extension Clinic","8-13 Astoria Boulevard",,"Astoria","New York","11102","7096","Queens",+0040.772705,-0073.931877
"1002","Ellenville Regional Hospital","Primary Care Hospital - Critical Access Hospital","10 Healthy Way",,"Ellenville","New York","12428","55","Ulster",+0041.732235,-0074.380661
"10020","The HUB Health Center","Diagnostic and Treatment Center Extension Clinic","459 East 149th Street",,"Bronx","New York","10455","7094","Bronx",+0040.815529,-0073.915253
"10021","Floral Park Home Dialysis","Diagnostic and Treatment Center Extension Clinic","1 Cisney Avenue",,"Floral Park","New York","11001","29","Nassau",+0040.722745,-0073.688322
"10023","Abraham Lincoln (K410)","School Based Hospital Extension Clinic","2800 Ocean Parkway",,"Brooklyn","New York","11235","7095","Kings",+0040.582621,-0073.968699
"10024","Liberty Dialysis - Hyde Park","Diagnostic and Treatment Center","386 Violet Avenue",,"Hyde Park","New York","12601","13","Dutchess",+0041.738230,-0073.907896
"10025","Charles Evans Center Inc.","Diagnostic and Treatment Center Extension Clinic","305 Oser Avenue",,"Hauppauge","New York","11788","51","Suffolk",+0040.815947,-0073.259574
"10026","Community Health Academy of the Heights (Phoenix)","School Based Diagnostic and Treatment Center Extension Clinic","504 West 158th Street",,"New York","New York","10032","7093","New York",+0040.833530,-0073.941861
"10027","Community Health Center of Buffalo, Inc - School Based Mobile Dental Equipment","School Based Diagnostic and Treatment Center Extension Clinic","34 Benwood Avenue",,"Buffalo","New York","14214","14","Erie",+0042.942196,-0078.834199
"10028","Julia and Israel Waldbaum Dialysis","Diagnostic and Treatment Center Extension Clinic","100 Community Drive",,"Great Neck","New York","11021","29","Nassau",+0040.781984,-0073.706045
"10029","St. Luke's Cornwall Hospital/Newburgh","Hospital Extension Clinic","400 Westage Business Center Drive",,"Fishkill","New York","12524","13","Dutchess",+0041.524340,-0073.896334
"1003","Hudson Valley Rehabilitation & Extended Care Center","Residential Health Care Facility - SNF","260 Vineyard Ave",,"Highland","New York","12528","55","Ulster",+0041.703918,-0073.980133
"10030","Southern Tier Community Health Network Inc.","Diagnostic and Treatment Center Extension Clinic","445 Broad Street",,"Salamanca","New York","14779","4","Cattaraugus",+0042.157348,-0078.731940
"10031","Hamptons Dialysis Center","Diagnostic and Treatment Center Extension Clinic","64 County Road 39",,"Southampton","New York","11968","51","Suffolk",+0040.896614,-0072.400654
"10032","Neighborhood Health Center Blasdell","Diagnostic and Treatment Center Extension Clinic","4233 Lake Avenue",,"Hamburg","New York","14219","14","Erie",+0042.796984,-0078.822168
